"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United Kingdom";"Greece";"Portugal";"Spain";"Australia";"New Zealand";"Canada";"United States";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Ecuador";"India";"Japan";"Sri Lanka"
"3,586";"4,979";"5,341";"2,666";"4,532";"3,973";"2,631";"5,603";"3,627";"4,238";"8,492";"5,441";"2,258";"1,571";"2,620";"4,708";"4,960";"4,811";"6,213";"4,080";"1,048";"2,859";"1,474";"1,618";"1,663";"4,301";"3,444";"1,065";"726";"1,850";"1,265"
"3,288";"4,860";"5,359";"2,581";"4,235";"3,652";"2,579";"5,185";"3,323";"4,129";"8,437";"5,138";"2,134";"1,631";"2,529";"4,354";"4,475";"4,004";"5,691";"3,712";"1,004";"2,218";"1,448";"1,643";"1,504";"3,500";"2,754";"1,044";"711";"1,837";"1,203"
"2,940";"4,607";"5,169";"2,550";"3,959";"3,362";"2,615";"5,035";"3,467";"3,968";"7,862";"5,148";"2,289";"1,643";"2,559";"4,564";"4,327";"3,671";"4,908";"3,522";"1,018";"1,844";"1,511";"1,373";"1,423";"3,196";"2,613";"1,023";"709";"1,962";"1,141"
"2,833";"4,681";"5,291";"2,702";"4,239";"3,556";"2,565";"4,956";"3,534";"4,033";"8,057";"5,277";"2,395";"1,732";"2,486";"4,842";"4,576";"3,370";"4,777";"3,621";"1,076";"2,236";"1,577";"1,501";"1,558";"2,750";"2,831";"1,023";"700";"2,122";"1,150"
"2,852";"4,624";"5,402";"2,988";"4,192";"3,858";"2,538";"4,805";"3,638";"4,294";"8,086";"5,608";"2,418";"1,784";"2,556";"5,060";"4,768";"3,691";"5,114";"3,845";"1,142";"2,655";"1,526";"1,574";"1,740";"3,221";"2,995";"1,023";"697";"2,098";"1,260"
"2,907";"4,894";"5,480";"3,093";"4,086";"4,120";"2,654";"4,929";"3,800";"4,492";"7,698";"5,799";"2,480";"1,669";"2,583";"5,318";"4,959";"3,951";"5,467";"3,950";"1,150";"2,761";"1,677";"1,660";"1,873";"3,356";"3,181";"1,023";"680";"2,120";"1,184"
"2,995";"4,913";"5,575";"3,279";"4,244";"4,451";"2,540";"5,190";"4,035";"4,640";"7,574";"6,035";"2,455";"1,523";"1,989";"5,516";"5,840";"4,124";"6,204";"3,912";"1,235";"2,847";"1,744";"1,768";"1,931";"3,459";"3,449";"1,033";"697";"2,244";"1,175"
"3,156";"4,961";"5,668";"3,441";"4,487";"4,685";"2,772";"5,433";"4,193";"4,755";"8,360";"6,218";"2,769";"1,757";"1,808";"5,746";"6,102";"4,473";"6,430";"4,125";"1,250";"3,181";"1,751";"1,796";"1,926";"3,462";"3,896";"1,044";"676";"2,315";"1,247"
"3,559";"4,832";"5,762";"3,589";"4,466";"4,994";"2,830";"5,250";"4,262";"4,901";"7,967";"6,266";"2,677";"1,747";"1,790";"5,886";"6,462";"4,546";"6,126";"4,072";"1,276";"3,161";"1,843";"1,794";"1,925";"3,676";"4,144";"1,054";"668";"2,449";"1,225"
"4,096";"5,150";"5,993";"3,408";"4,793";"5,406";"2,981";"5,544";"4,441";"5,251";"8,092";"6,262";"2,638";"1,749";"1,915";"5,846";"6,460";"4,768";"6,561";"4,148";"1,263";"3,169";"1,905";"1,858";"1,905";"3,692";"4,305";"1,065";"674";"2,816";"1,186"
"3,959";"4,562";"5,116";"3,220";"4,042";"5,403";"2,897";"4,831";"4,038";"4,855";"8,139";"6,856";"2,223";"1,615";"2,080";"6,166";"6,300";"5,368";"7,010";"4,161";"1,250";"3,236";"1,895";"1,852";"1,911";"3,661";"4,045";"1,109";"686";"2,874";"1,251"
